molecule,api_manufacturer_count,api_manufacturers,api_concentration_risk,api_india_count,api_china_count,api_uk_eu_count,api_india_china_pct,api_single_source,api_eu_mah_names,us_shortage_active,us_shortage_total,us_shortage_reasons
pramipexole,2,Sichuan Haisco (China)|Boehringer Ingelheim (Germany),CRITICAL,0,1,1,50,0,,0,0,
esomeprazole,3,Sun Pharma (India)|Laurus Labs (India)|Mylan (USA),HIGH,2,0,0,67,0,,0,0,
mefenamic,2,Granules India (India)|Solara Active Pharma (India),CRITICAL,2,0,0,100,0,,0,0,
lactulose,2,Solvay (BASF) (Belgium)|FrieslandCampina (Netherlands),CRITICAL,0,0,2,0,0,,0,0,
olanzapine,3,Aurobindo Pharma (India)|Dr. Reddy's (India)|Teva (Israel),HIGH,2,0,0,67,0,,0,0,
indapamide,2,Dr. Reddy's (India)|Zydus Lifesciences (India),CRITICAL,2,0,0,100,0,,0,0,
propranolol,3,Ipca Labs (India)|Laurus Labs (India)|Teva (Israel),HIGH,2,0,0,67,0,,2,2,Shortage of an active ingredient
co-codamol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
hydroxocobalamin,2,Catalent (Netherlands)|Panpharma (France),CRITICAL,0,0,2,0,0,,2,2,Other|Requirements related to complying with good manufacturing practices
paracetamol,3,Granules India (India)|Mallinckrodt (USA)|Rhodia (France),HIGH,1,0,1,33,0,,0,0,
ibandronic,3,Teva API (India)|Aurobindo (India)|Zentiva (Czech Republic),HIGH,2,0,1,67,0,,0,0,
oxybutynin,0,,UNKNOWN,0,0,0,-1,0,,0,4,
trihexyphenidyl,0,,UNKNOWN,0,0,0,-1,0,,0,0,
trimethoprim,0,,UNKNOWN,0,0,0,-1,0,,0,0,
alfuzosin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bumetanide,0,,UNKNOWN,0,0,0,-1,0,,8,17,Demand increase for the drug
nizatidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clarithromycin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
febuxostat,0,,UNKNOWN,0,0,0,-1,0,,0,0,
naftidrofuryl,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sodium,0,,UNKNOWN,0,0,0,-1,0,,9,149,Other
amiodarone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lofepramine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dutasteride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
nefopam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
bimatoprost,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ciprofloxacin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
progesterone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
oxytetracycline,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mometasone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
latanoprost,0,,UNKNOWN,0,0,0,-1,0,,0,0,
valaciclovir,0,,UNKNOWN,0,0,0,-1,0,,0,0,
betamethasone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
oxycodone,0,,UNKNOWN,0,0,0,-1,0,,0,7,
itraconazole,0,,UNKNOWN,0,0,0,-1,0,,0,3,
terbinafine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
procyclidine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
irbesartan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
lansoprazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
risperidone,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tolterodine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sulpiride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
clotrimazole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
pyridostigmine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sulfasalazine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
phenoxymethylpenicillin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
zolmitriptan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
cyclizine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ivabradine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
midazolam,0,,UNKNOWN,0,0,0,-1,0,,10,30,Demand increase for the drug|Other
diclofenac,0,,UNKNOWN,0,0,0,-1,0,,0,0,
methenamine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fexofenadine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-careldopa,0,,UNKNOWN,0,0,0,-1,0,,0,0,
dexamethasone,0,,UNKNOWN,0,0,0,-1,0,,10,16,Demand increase for the drug
timolol,0,,UNKNOWN,0,0,0,-1,0,,0,0,
promethazine,0,,UNKNOWN,0,0,0,-1,0,,10,10,Demand increase for the drug|Other
estradiol,0,,UNKNOWN,0,0,0,-1,0,,0,4,
carbocisteine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fenofibrate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mercaptopurine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
sitagliptin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
imipramine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
prucalopride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
duloxetine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
permethrin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
nitrazepam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
piroxicam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
fluoxetine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
mycophenolate,0,,UNKNOWN,0,0,0,-1,0,,0,0,
buprenorphine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
propylthiouracil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
co-amoxiclav,0,,UNKNOWN,0,0,0,-1,0,,0,0,
montelukast,0,,UNKNOWN,0,0,0,-1,0,,0,2,
venlafaxine,0,,UNKNOWN,0,0,0,-1,0,,0,0,
ropinirole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
folic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
levothyroxine,3,Siegfried (Germany)|AAPI (India)|Sichuan Kelun (China),HIGH,1,1,1,67,0,,0,22,
pregabalin,3,Aurobindo (India)|Dr. Reddy's (India)|Pfizer (Ireland),HIGH,2,0,1,67,0,,0,0,
modafinil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
erythromycin,0,,UNKNOWN,0,0,0,-1,0,,0,0,
memantine,0,,UNKNOWN,0,0,0,-1,0,,0,2,
desogestrel,0,,UNKNOWN,0,0,0,-1,0,,0,0,
amiloride,0,,UNKNOWN,0,0,0,-1,0,,0,0,
tacrolimus,0,,UNKNOWN,0,0,0,-1,0,,0,0,
aqueous,0,,UNKNOWN,0,0,0,-1,0,,0,0,
temazepam,0,,UNKNOWN,0,0,0,-1,0,,0,0,
isosorbide,0,,UNKNOWN,0,0,0,-1,0,,0,0,
vardenafil,0,,UNKNOWN,0,0,0,-1,0,,0,0,
methylphenidate,0,,UNKNOWN,0,0,0,-1,0,,10,43,Demand increase for the drug|Other|Delay in shipping of the drug
nortriptyline,0,,UNKNOWN,0,0,0,-1,0,,0,1,
trospium,0,,UNKNOWN,0,0,0,-1,0,,0,0,
haloperidol,0,,UNKNOWN,0,0,0,-1,0,,0,6,
rizatriptan,0,,UNKNOWN,0,0,0,-1,0,,0,0,
gabapentin,3,Aurobindo (India)|Teva (Hungary)|Lupin (India),HIGH,2,0,0,67,0,,0,0,
fusidic,0,,UNKNOWN,0,0,0,-1,0,,0,0,
letrozole,0,,UNKNOWN,0,0,0,-1,0,,0,0,
