title,url,published,description
Medicines shortages: regulatory processes to manage supply disruptions,https://www.gov.uk/government/publications/medicines-shortages-regulatory-processes-to-manage-supply-disruptions,2022-05-22,Guidance on the steps manufacturers and suppliers can take to ease supply shortages.
Guidance for Manufacturers Specials licence holders on ‘packing down’ medicines during the coronavirus (COVID-19) outbreak,https://www.gov.uk/guidance/guidance-for-manufacturers-specials-licence-holders-on-packing-down-medicines-during-the-coronavirus-covid-19-outbreak,2020-03-24,"If pharmacies wish to ‘pack down’ larger packs of a medicinal product, they need to follow these instructions"
Apply for a licence to market a medicine in the UK,https://www.gov.uk/guidance/apply-for-a-licence-to-market-a-medicine-in-the-uk,2026-02-24,"An overview of the process including submitting or fast-tracking an application, naming your medicine and paying fees."
Exceptional GMP flexibilities for medicines imported from third countries during the coronavirus (COVID-19) outbreak,https://www.gov.uk/guidance/exceptional-gmp-flexibilities-for-medicines-imported-from-third-countries-during-the-coronavirus-covid-19-outbreak,2020-03-31,Qualified Persons (QPs) should follow the below guidance on the flexible approaches we are taking for medicines imported from third countries.
Apply to release a vaccine or a blood product to market,https://www.gov.uk/guidance/apply-to-release-a-vaccine-or-a-blood-product-to-market,2025-03-11,Information for people who wish to apply to release a vaccine or a blood product to market in the UK.
MHRA regulatory flexibilities resulting from coronavirus (COVID-19),https://www.gov.uk/guidance/mhra-regulatory-flexibilities-resulting-from-coronavirus-covid-19,2020-08-04,Guidance for industry on flexible approaches to regulation we are taking during the COVID-19 outbreak.
Managing clinical trials during Coronavirus (COVID-19),https://www.gov.uk/guidance/managing-clinical-trials-during-coronavirus-covid-19,2021-11-16,How investigators and sponsors should manage clinical trials during COVID-19
Medicines: apply for a variation to your marketing authorisation,https://www.gov.uk/guidance/medicines-apply-for-a-variation-to-your-marketing-authorisation,2026-01-26,"Apply for changes to your marketing authorisation, including minor variations type IA and IB, major variations type II and extensions."
Letters and medicine recalls sent to healthcare professionals in March 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-march-2024,2024-04-29,A summary of recent letters and notifications sent to healthcare professionals about medicines and medical devices.
Letters and medicine recalls sent to healthcare professionals in October 2022,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-october-2022,2022-11-29,A summary of recent letters and notifications sent to healthcare professionals about medicines.
Letters sent to healthcare professionals in July 2017,https://www.gov.uk/drug-safety-update/letters-sent-to-healthcare-professionals-in-july-2017,2017-08-15,"Letters were sent about ibrutinib, daclizumab, aflibercept, valproate medicines, and arsenic trioxide."
Regulator investigating the diversion of prescription only medicines,https://www.gov.uk/government/news/regulator-investigating-the-diversion-of-prescription-only-medicines,2016-12-16,The Medicines and Healthcare products Regulatory Agency (MHRA) is conducting a large scale investigation into the diversion of prescription only medicines to the criminal market
 Letters and medicine recalls sent to healthcare professionals in October 2023,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-october-2023,2023-11-23,A summary of recent letters and notifications sent to healthcare professionals about medicines.
Letters and medicine recalls sent to healthcare professionals in June 2023 ,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-june-2023,2023-07-24,A summary of recent letters and notifications sent to healthcare professionals about medicines and medical devices and a reminder of a recent MHRA National Patient Safety Alert to highlight the potential risk of underdosing with calcium gluconate in severe hyperkalaemia. 
Letters and medicine recalls sent to healthcare professionals in January 2023 ,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-january-2023,2023-02-27,A summary of recent letters and notifications sent to healthcare professionals about medicines and medical devices. 
Letters and drug alerts sent to healthcare professionals in November 2018,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-november-2018,2018-12-18,"A pharmacy-level recall of some valsartan-containing products took place due to possible contamination, including advice to healthcare professionals and information on supply. Letters were also sent about quadrivalent influenza vaccines and systemic and inhaled fluoroquinolones and an alert was issued about Mitomycin-C Kyowa. "
Letters and medicine recalls sent to healthcare professionals in April 2021,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-april-2021,2021-05-19,A summary of letters and recent medicine recalls and notifications sent to healthcare professionals.
Letters and drug alerts sent to healthcare professionals in December 2018,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-december-2018,2019-01-09,"In December 2018, a letter was sent to notify healthcare professionals of the discontinuation of Zovirax (Aciclovir) eye ointment. We also highlight the recent recall of Actavis batches of irbesartan/hydrochlorothiazide tablets from pharmacies as a precautionary measure due to possible contamination with N-nitrosodiethylamine (NDEA). "
"Class 2 Medicines recall: Actavis Group PTC EHF - Irbesartan 300mg Film-coated tablets, PL 30306/0108 and Irbesartan / Hydrochlorothiazide 300 / 25mg Film-coated Tablets, PL 30306/0267 (MDR 94-06/18)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-actavis-group-ptc-ehf-irbesartan-300mg-film-coated-tablets-pl-30306-0108-and-irbesartan-hydrochlorothiazide-300-25mg-film-coated-tablets-pl-30306-0267-mdr-94-06-18,2019-02-13,Actavis Group PTC EHF is recalling the below batches from pharmacies as a precautionary measure due to possible contamination with N‑nitrosodiethylamine (NDEA).
Letters and medicine recalls sent to healthcare professionals in December 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-december-2024,2025-01-28,A summary of recent letters and notifications sent to healthcare professionals about medicines and medical devices.  
